X,Y,Z,dip,azimuth,polarity,formation,series
621055.2844540898,2476423.626316949,386.8181818181818,40.669425490123466,95.41516696114732,1,Unit_2,Default series
620946.8102979548,2477202.1160493544,422.9230769230769,31.26731659543564,64.0930655817981,1,Unit_2,Default series
620653.9736898174,2477876.913557432,400.82089552238807,23.68678850987971,35.631571397972955,1,Unit_2,Default series
615165.0096527787,2477880.3977083666,430.0,28.74749394589507,295.9278642828324,1,Unit_2,Default series
615490.5749752558,2478291.2900974248,435.0,28.59382862959294,295.54250988174886,1,Unit_2,Default series
614562.7056473375,2476465.710466975,482.6,44.20333145903526,294.1628197966365,1,Unit_2,Default series
614128.7587023419,2475672.015416412,475.375,34.43545682209278,301.8673283383622,1,Unit_2,Default series
618954.1851155454,2474839.736218703,365.8333333333333,23.871343928260735,133.68626114846836,1,Unit_2,Default series
619535.6258783913,2476015.9594154265,491.125,18.457026381272296,104.88096245466804,1,Unit_2,Default series
616406.8873771703,2478867.003830984,431.0,26.92395419972247,347.39054976815896,1,Unit_2,Default series
616103.8568280946,2477443.783441374,625.3333333333334,30.34900523367567,306.49349066903693,1,Unit_2,Default series
617537.9924791129,2479067.7134838323,461.875,34.497183944189366,349.88363037753595,1,Unit_2,Default series
619683.5500250468,2478926.2975528035,469.375,65.80118006192986,43.52247494583195,1,Unit_2,Default series
620183.9774494692,2478371.5017117197,467.9,40.75571654800876,53.59227014286685,1,Unit_2,Default series
617105.5879850759,2475285.185906659,602.0,32.487338204626155,148.73853702354657,1,Unit_2,Default series
618645.5926161206,2476286.552870217,575.7142857142857,19.157719542141162,117.21501988510673,1,Unit_2,Default series
617277.8330189114,2476864.7992763133,502.6,12.639724307140106,315.2247555935117,1,Unit_2,Default series
615547.3213621287,2476132.5538340756,584.5714285714286,44.95908603583592,302.25227650277384,1,Unit_2,Default series
616481.7068179498,2475484.1351400926,623.0,24.412057173783534,304.6286103875143,1,Unit_2,Default series
619214.8830213827,2477164.394546045,607.6666666666666,11.019788251082108,55.18097936717167,1,Unit_2,Default series
615134.5864901386,2476375.9260820723,473.6666666666667,14.359648990704068,128.21528898630726,1,Unit_2,Default series
619945.8496831314,2477493.0632971968,477.8333333333333,23.482412354188018,69.76037255754191,1,Unit_2,Default series
617361.409905621,2474959.9770440483,398.57142857142856,11.094016887068685,157.63834087408338,1,Unit_2,Default series
614958.2213324287,2476519.2077645073,539.5714285714286,16.195203083073658,292.925896009384,1,Unit_2,Default series
620185.4671014497,2477472.708171141,525.5,50.876012335855805,62.677137512874836,1,Unit_2,Default series
617396.8374734935,2474620.555826613,429.72727272727275,8.997839032559453,160.4207400172765,1,Unit_2,Default series
